Dept_name,metric_code,Store_id,Subdept,metric_date,metric_value
Meat,UNITS_SOLD,5,20A,2024-01-01,553.32
Deli,WASTE_LBS,5,15B,2024-01-01,11.39
Dairy,SYSTEM_ON,5,10A,2024-01-01,1.0
Produce,WASTE_LBS,5,10A,2024-01-01,16.2
Dairy,SYSTEM_ON,5,4A,2024-01-01,1.0
Grocery,SYSTEM_ON,6,4A,2024-01-01,1.0
Grocery,CUST_COUNT,6,15B,2024-01-01,917.04
Dairy,UNITS_SOLD,6,30C,2024-01-01,483.25
Dairy,UNITS_SOLD,6,15B,2024-01-01,644.99
Dairy,UNITS_SOLD,6,4A,2024-01-01,599.1
Dairy,SYSTEM_ON,6,20A,2024-01-01,1.0
Deli,REVENUE_USD,6,4A,2024-01-01,4349.56
Dairy,UNITS_SOLD,6,4A,2024-01-01,681.04
Meat,WASTE_LBS,6,20A,2024-01-01,7.21
Bakery,REVENUE_USD,6,4A,2024-01-01,2672.05
Bakery,CUST_COUNT,6,10A,2024-01-01,1224.43
Meat,WASTE_LBS,6,4A,2024-01-01,38.27
Produce,CUST_COUNT,6,10A,2024-01-01,844.98
Grocery,UNITS_SOLD,6,4A,2024-01-01,449.77
Dairy,CUST_COUNT,7,20A,2024-01-01,1485.06
Dairy,REVENUE_USD,7,4A,2024-01-01,4406.97
Bakery,UNITS_SOLD,7,10A,2024-01-01,493.98
Produce,WASTE_LBS,7,20A,2024-01-01,1.02
Bakery,REVENUE_USD,7,4A,2024-01-01,4480.49
Grocery,CUST_COUNT,7,30C,2024-01-01,1027.47
Bakery,REVENUE_USD,7,10A,2024-01-01,2993.6
Produce,REVENUE_USD,7,10A,2024-01-01,7732.95
Produce,UNITS_SOLD,7,4A,2024-01-01,299.8
Bakery,UNITS_SOLD,7,15B,2024-01-01,574.5
Grocery,REVENUE_USD,7,15B,2024-01-01,3083.92
Deli,CUST_COUNT,8,10A,2024-01-01,1508.34
Meat,SYSTEM_ON,8,15B,2024-01-01,1.0
Meat,UNITS_SOLD,8,4A,2024-01-01,437.02
Meat,SYSTEM_ON,8,30C,2024-01-01,1.0
Produce,CUST_COUNT,8,30C,2024-01-01,1544.42
Produce,REVENUE_USD,8,4A,2024-01-01,5724.7
Meat,WASTE_LBS,8,10A,2024-01-01,7.76
Meat,WASTE_LBS,8,30C,2024-01-01,0.0
Dairy,CUST_COUNT,8,4A,2024-01-01,1538.35
Bakery,SYSTEM_ON,8,20A,2024-01-01,1.0
Bakery,SYSTEM_ON,8,20A,2024-01-01,1.0
Deli,WASTE_LBS,8,10A,2024-01-01,9.48
Bakery,UNITS_SOLD,8,30C,2024-01-01,415.43
Meat,WASTE_LBS,9,30C,2024-01-01,25.4
Seafood,CUST_COUNT,9,10A,2024-01-01,1605.82
Dairy,CUST_COUNT,9,30C,2024-01-01,1257.8
Grocery,CUST_COUNT,9,10A,2024-01-01,970.2
Deli,WASTE_LBS,9,10A,2024-01-01,33.72
Seafood,WASTE_LBS,9,4A,2024-01-01,0.0
Bakery,WASTE_LBS,9,20A,2024-01-01,14.92
Deli,SYSTEM_ON,9,4A,2024-01-01,1.0
Seafood,REVENUE_USD,9,30C,2024-01-01,4909.24
Grocery,REVENUE_USD,9,20A,2024-01-01,4600.9
Deli,SYSTEM_ON,9,10A,2024-01-01,1.0
Produce,UNITS_SOLD,10,15B,2024-01-01,341.56
Grocery,WASTE_LBS,10,30C,2024-01-01,17.07
Deli,WASTE_LBS,10,10A,2024-01-01,37.74
Deli,UNITS_SOLD,10,4A,2024-01-01,533.89
Grocery,REVENUE_USD,10,4A,2024-01-01,4914.01
Seafood,WASTE_LBS,10,4A,2024-01-01,10.87
Meat,WASTE_LBS,10,4A,2024-01-01,24.44
Deli,WASTE_LBS,10,10A,2024-01-01,17.27
Dairy,WASTE_LBS,10,15B,2024-01-01,42.07
Deli,SYSTEM_ON,10,15B,2024-01-01,1.0
Dairy,CUST_COUNT,10,15B,2024-01-01,1247.14
Deli,REVENUE_USD,10,10A,2024-01-01,6652.45
Dairy,WASTE_LBS,10,10A,2024-01-01,8.62
Dairy,REVENUE_USD,10,20A,2024-01-01,5525.13
Deli,CUST_COUNT,10,20A,2024-01-01,848.48
Bakery,WASTE_LBS,1,15B,2024-01-02,32.53
Dairy,CUST_COUNT,1,20A,2024-01-02,1077.82
Seafood,CUST_COUNT,1,20A,2024-01-02,1280.21
Deli,SYSTEM_ON,1,30C,2024-01-02,1.0
Meat,WASTE_LBS,1,4A,2024-01-02,0.0
Dairy,UNITS_SOLD,1,15B,2024-01-02,463.08
Meat,SYSTEM_ON,1,30C,2024-01-02,1.0
Produce,WASTE_LBS,1,4A,2024-01-02,36.2
Bakery,UNITS_SOLD,1,20A,2024-01-02,407.24
Bakery,CUST_COUNT,1,10A,2024-01-02,1687.01
Produce,SYSTEM_ON,1,15B,2024-01-02,1.0
Bakery,CUST_COUNT,1,30C,2024-01-02,1369.1
Dairy,UNITS_SOLD,1,20A,2024-01-02,522.0
Produce,WASTE_LBS,1,15B,2024-01-02,0.0
Produce,UNITS_SOLD,1,4A,2024-01-02,617.4
Produce,CUST_COUNT,2,30C,2024-01-02,1535.7
Seafood,REVENUE_USD,2,15B,2024-01-02,3104.72
Meat,UNITS_SOLD,2,10A,2024-01-02,579.28
Meat,REVENUE_USD,2,15B,2024-01-02,4212.21
Grocery,REVENUE_USD,2,20A,2024-01-02,4499.46
Produce,CUST_COUNT,2,15B,2024-01-02,1083.16
Meat,WASTE_LBS,2,30C,2024-01-02,2.68
Produce,WASTE_LBS,2,10A,2024-01-02,26.53
Bakery,REVENUE_USD,2,30C,2024-01-02,4859.54
Bakery,UNITS_SOLD,2,15B,2024-01-02,537.53
Dairy,CUST_COUNT,2,4A,2024-01-02,771.46
Grocery,UNITS_SOLD,2,20A,2024-01-02,428.49
Meat,CUST_COUNT,2,4A,2024-01-02,787.74
Deli,REVENUE_USD,2,20A,2024-01-02,3939.57
Produce,CUST_COUNT,2,10A,2024-01-02,1182.52
Deli,UNITS_SOLD,2,10A,2024-01-02,401.63
Meat,WASTE_LBS,2,15B,2024-01-02,19.64
Grocery,SYSTEM_ON,2,30C,2024-01-02,1.0
Bakery,WASTE_LBS,3,20A,2024-01-02,22.14
Bakery,REVENUE_USD,3,30C,2024-01-02,5809.56
Bakery,CUST_COUNT,3,15B,2024-01-02,895.92
Grocery,WASTE_LBS,3,30C,2024-01-02,4.98
Seafood,WASTE_LBS,3,20A,2024-01-02,17.83
Seafood,CUST_COUNT,3,4A,2024-01-02,1079.17
Dairy,SYSTEM_ON,3,20A,2024-01-02,1.0
Produce,REVENUE_USD,3,10A,2024-01-02,4643.68
Grocery,REVENUE_USD,3,4A,2024-01-02,3680.72
Grocery,UNITS_SOLD,3,4A,2024-01-02,361.53
Produce,UNITS_SOLD,3,30C,2024-01-02,326.84
Produce,SYSTEM_ON,4,30C,2024-01-02,1.0
Dairy,WASTE_LBS,4,4A,2024-01-02,18.87
Dairy,CUST_COUNT,4,10A,2024-01-02,1398.45
Deli,SYSTEM_ON,4,20A,2024-01-02,1.0
Deli,REVENUE_USD,4,30C,2024-01-02,6742.64
Dairy,CUST_COUNT,4,30C,2024-01-02,922.04
Produce,UNITS_SOLD,4,15B,2024-01-02,580.99
Deli,SYSTEM_ON,4,10A,2024-01-02,1.0
Grocery,CUST_COUNT,4,15B,2024-01-02,1138.92
Meat,CUST_COUNT,4,30C,2024-01-02,1188.95
Deli,SYSTEM_ON,4,4A,2024-01-02,1.0
Produce,REVENUE_USD,4,30C,2024-01-02,2925.11
Seafood,UNITS_SOLD,4,4A,2024-01-02,489.64
Meat,WASTE_LBS,4,15B,2024-01-02,28.43
Meat,WASTE_LBS,4,10A,2024-01-02,15.25
Meat,SYSTEM_ON,5,30C,2024-01-02,1.0
Deli,UNITS_SOLD,5,4A,2024-01-02,676.65
Bakery,WASTE_LBS,5,30C,2024-01-02,23.71
Grocery,SYSTEM_ON,5,10A,2024-01-02,1.0
Produce,REVENUE_USD,5,4A,2024-01-02,6307.57
Deli,UNITS_SOLD,5,15B,2024-01-02,449.61
Bakery,UNITS_SOLD,5,30C,2024-01-02,558.79
Seafood,SYSTEM_ON,5,10A,2024-01-02,1.0
Dairy,SYSTEM_ON,5,15B,2024-01-02,1.0
Bakery,SYSTEM_ON,5,20A,2024-01-02,1.0
Seafood,UNITS_SOLD,5,4A,2024-01-02,434.46
Produce,REVENUE_USD,5,20A,2024-01-02,5179.0
Meat,UNITS_SOLD,6,30C,2024-01-02,487.61
Seafood,SYSTEM_ON,6,10A,2024-01-02,1.0
Bakery,SYSTEM_ON,6,4A,2024-01-02,1.0
Seafood,REVENUE_USD,6,10A,2024-01-02,6779.87
Seafood,UNITS_SOLD,6,20A,2024-01-02,566.32
Deli,WASTE_LBS,6,15B,2024-01-02,16.96
Seafood,CUST_COUNT,6,30C,2024-01-02,1688.11
Deli,UNITS_SOLD,6,10A,2024-01-02,499.86
Bakery,UNITS_SOLD,6,20A,2024-01-02,578.19
Produce,REVENUE_USD,6,20A,2024-01-02,7472.54
Deli,UNITS_SOLD,6,4A,2024-01-02,331.19
Meat,UNITS_SOLD,6,4A,2024-01-02,448.35
Deli,UNITS_SOLD,6,10A,2024-01-02,448.34
Seafood,WASTE_LBS,6,20A,2024-01-02,20.59
Deli,CUST_COUNT,6,10A,2024-01-02,1433.84
Seafood,UNITS_SOLD,7,30C,2024-01-02,368.37
Produce,WASTE_LBS,7,10A,2024-01-02,26.44
Grocery,UNITS_SOLD,7,15B,2024-01-02,436.15
Seafood,SYSTEM_ON,7,15B,2024-01-02,1.0
Seafood,UNITS_SOLD,7,30C,2024-01-02,456.81
Bakery,WASTE_LBS,7,20A,2024-01-02,13.81
Deli,CUST_COUNT,7,30C,2024-01-02,797.04
Dairy,WASTE_LBS,7,15B,2024-01-02,14.47
Meat,REVENUE_USD,7,30C,2024-01-02,5073.22
Bakery,CUST_COUNT,7,30C,2024-01-02,775.61
Seafood,UNITS_SOLD,7,15B,2024-01-02,522.37
Produce,WASTE_LBS,7,30C,2024-01-02,34.1
Seafood,REVENUE_USD,7,30C,2024-01-02,2683.67
Grocery,CUST_COUNT,7,30C,2024-01-02,1093.86
Grocery,CUST_COUNT,7,4A,2024-01-02,901.14
Produce,WASTE_LBS,7,30C,2024-01-02,12.5
Grocery,SYSTEM_ON,8,15B,2024-01-02,1.0
Meat,REVENUE_USD,8,30C,2024-01-02,6051.59
Bakery,WASTE_LBS,8,4A,2024-01-02,38.54
Seafood,CUST_COUNT,8,30C,2024-01-02,1125.25
Produce,REVENUE_USD,8,10A,2024-01-02,5204.26
Deli,WASTE_LBS,8,15B,2024-01-02,0.0
Bakery,SYSTEM_ON,8,20A,2024-01-02,1.0
Dairy,WASTE_LBS,8,15B,2024-01-02,0.0
Meat,WASTE_LBS,8,20A,2024-01-02,30.24
Deli,SYSTEM_ON,8,15B,2024-01-02,1.0
Seafood,REVENUE_USD,9,20A,2024-01-02,4706.43
Seafood,WASTE_LBS,9,15B,2024-01-02,40.6
Bakery,WASTE_LBS,9,4A,2024-01-02,25.8
Dairy,UNITS_SOLD,9,30C,2024-01-02,374.47
Deli,UNITS_SOLD,9,15B,2024-01-02,669.94
Grocery,REVENUE_USD,9,4A,2024-01-02,5245.65
Meat,SYSTEM_ON,9,20A,2024-01-02,1.0
Dairy,SYSTEM_ON,9,15B,2024-01-02,1.0
Grocery,SYSTEM_ON,9,20A,2024-01-02,1.0
Dairy,SYSTEM_ON,9,4A,2024-01-02,1.0
Meat,REVENUE_USD,9,15B,2024-01-02,5748.72
Produce,CUST_COUNT,9,15B,2024-01-02,807.67
Produce,UNITS_SOLD,9,20A,2024-01-02,512.58
Grocery,SYSTEM_ON,10,4A,2024-01-02,1.0
Grocery,WASTE_LBS,10,30C,2024-01-02,29.39
Produce,UNITS_SOLD,10,15B,2024-01-02,479.18
Dairy,WASTE_LBS,10,15B,2024-01-02,17.55
Meat,CUST_COUNT,10,20A,2024-01-02,1202.94
Meat,UNITS_SOLD,10,30C,2024-01-02,322.28
Grocery,WASTE_LBS,10,30C,2024-01-02,6.05
Dairy,UNITS_SOLD,10,20A,2024-01-02,515.15
Dairy,SYSTEM_ON,10,10A,2024-01-02,1.0
Grocery,SYSTEM_ON,10,10A,2024-01-02,1.0
Bakery,WASTE_LBS,10,15B,2024-01-02,24.99
Grocery,WASTE_LBS,1,15B,2024-01-03,18.16
Bakery,UNITS_SOLD,1,10A,2024-01-03,563.03
Bakery,WASTE_LBS,1,4A,2024-01-03,23.16
Grocery,CUST_COUNT,1,15B,2024-01-03,1098.87
Dairy,UNITS_SOLD,1,10A,2024-01-03,407.4
Seafood,CUST_COUNT,1,10A,2024-01-03,1202.16
Meat,SYSTEM_ON,1,10A,2024-01-03,1.0
Seafood,SYSTEM_ON,1,20A,2024-01-03,1.0
Dairy,WASTE_LBS,1,20A,2024-01-03,30.33
Dairy,CUST_COUNT,1,4A,2024-01-03,1953.98
Deli,SYSTEM_ON,1,10A,2024-01-03,1.0
Seafood,CUST_COUNT,1,15B,2024-01-03,1429.31
Seafood,CUST_COUNT,1,4A,2024-01-03,1116.29
Bakery,REVENUE_USD,2,4A,2024-01-03,2822.95
Seafood,UNITS_SOLD,2,10A,2024-01-03,620.47
Bakery,WASTE_LBS,2,20A,2024-01-03,12.75
Meat,REVENUE_USD,2,10A,2024-01-03,6143.45
Deli,UNITS_SOLD,2,20A,2024-01-03,548.09
Produce,UNITS_SOLD,2,10A,2024-01-03,516.1
Deli,WASTE_LBS,2,20A,2024-01-03,1.87
Deli,UNITS_SOLD,2,20A,2024-01-03,457.9
Deli,WASTE_LBS,2,20A,2024-01-03,3.97
Grocery,UNITS_SOLD,2,30C,2024-01-03,557.13
Dairy,WASTE_LBS,2,20A,2024-01-03,22.09
Bakery,UNITS_SOLD,2,10A,2024-01-03,648.05
Deli,WASTE_LBS,2,20A,2024-01-03,23.3
Bakery,WASTE_LBS,2,15B,2024-01-03,31.66
Bakery,REVENUE_USD,3,15B,2024-01-03,3045.41
Produce,UNITS_SOLD,3,4A,2024-01-03,284.05
Grocery,REVENUE_USD,3,30C,2024-01-03,4078.48
Grocery,UNITS_SOLD,3,10A,2024-01-03,526.04
Dairy,WASTE_LBS,3,10A,2024-01-03,36.43
Grocery,UNITS_SOLD,3,30C,2024-01-03,542.55
Deli,REVENUE_USD,3,20A,2024-01-03,6669.68
Meat,SYSTEM_ON,3,10A,2024-01-03,1.0
Deli,CUST_COUNT,3,4A,2024-01-03,658.18
Seafood,REVENUE_USD,3,4A,2024-01-03,5222.05
Deli,UNITS_SOLD,3,30C,2024-01-03,405.66
Bakery,WASTE_LBS,3,4A,2024-01-03,17.75
Bakery,REVENUE_USD,3,15B,2024-01-03,6329.32
Bakery,WASTE_LBS,4,10A,2024-01-03,38.15
Seafood,SYSTEM_ON,4,20A,2024-01-03,1.0
Produce,REVENUE_USD,4,10A,2024-01-03,4676.09
Grocery,SYSTEM_ON,4,30C,2024-01-03,1.0
Grocery,SYSTEM_ON,4,30C,2024-01-03,1.0
Bakery,UNITS_SOLD,4,30C,2024-01-03,643.1
Grocery,UNITS_SOLD,4,30C,2024-01-03,473.76
Dairy,CUST_COUNT,5,20A,2024-01-03,644.18
Meat,WASTE_LBS,5,10A,2024-01-03,48.67
Meat,UNITS_SOLD,5,4A,2024-01-03,482.66
Seafood,UNITS_SOLD,5,15B,2024-01-03,567.06
Seafood,CUST_COUNT,5,15B,2024-01-03,1109.14
Dairy,CUST_COUNT,5,15B,2024-01-03,1455.87
Dairy,REVENUE_USD,5,10A,2024-01-03,6033.32
Bakery,CUST_COUNT,5,15B,2024-01-03,869.36
Meat,CUST_COUNT,5,15B,2024-01-03,1627.47
Bakery,WASTE_LBS,5,30C,2024-01-03,21.9
Grocery,SYSTEM_ON,5,20A,2024-01-03,1.0
Deli,UNITS_SOLD,5,4A,2024-01-03,466.51
Bakery,UNITS_SOLD,5,30C,2024-01-03,329.99
Grocery,CUST_COUNT,5,30C,2024-01-03,1444.2
Bakery,SYSTEM_ON,5,15B,2024-01-03,1.0
Grocery,UNITS_SOLD,5,15B,2024-01-03,488.49
Grocery,CUST_COUNT,5,4A,2024-01-03,966.22
Dairy,CUST_COUNT,5,30C,2024-01-03,1362.38
Meat,UNITS_SOLD,6,20A,2024-01-03,631.85
Dairy,REVENUE_USD,6,30C,2024-01-03,6208.87
Bakery,REVENUE_USD,6,30C,2024-01-03,2910.25
Grocery,UNITS_SOLD,6,4A,2024-01-03,570.84
Dairy,WASTE_LBS,6,15B,2024-01-03,11.12
Produce,REVENUE_USD,6,20A,2024-01-03,5455.26
Grocery,WASTE_LBS,6,30C,2024-01-03,14.51
Dairy,SYSTEM_ON,6,10A,2024-01-03,1.0
Dairy,WASTE_LBS,6,15B,2024-01-03,24.04
Seafood,SYSTEM_ON,6,15B,2024-01-03,1.0
Produce,CUST_COUNT,6,20A,2024-01-03,1124.86
Seafood,UNITS_SOLD,6,15B,2024-01-03,412.6
Grocery,REVENUE_USD,6,10A,2024-01-03,5149.45
Deli,REVENUE_USD,6,30C,2024-01-03,6463.01
Deli,UNITS_SOLD,7,15B,2024-01-03,372.12
Produce,SYSTEM_ON,7,10A,2024-01-03,1.0
Seafood,CUST_COUNT,7,15B,2024-01-03,1024.1
Produce,REVENUE_USD,7,4A,2024-01-03,3033.54
Grocery,UNITS_SOLD,7,15B,2024-01-03,680.16
Seafood,WASTE_LBS,7,15B,2024-01-03,53.2
Seafood,UNITS_SOLD,7,30C,2024-01-03,492.97
Dairy,UNITS_SOLD,7,20A,2024-01-03,435.14
Dairy,REVENUE_USD,7,4A,2024-01-03,3007.53
Bakery,CUST_COUNT,7,15B,2024-01-03,1407.92
Meat,REVENUE_USD,7,20A,2024-01-03,4540.98
Bakery,REVENUE_USD,7,4A,2024-01-03,5951.09
Dairy,REVENUE_USD,7,20A,2024-01-03,5330.6
Bakery,REVENUE_USD,7,15B,2024-01-03,4055.93
Deli,CUST_COUNT,7,10A,2024-01-03,1118.33
Grocery,SYSTEM_ON,8,30C,2024-01-03,1.0
Bakery,SYSTEM_ON,8,20A,2024-01-03,1.0
Produce,CUST_COUNT,8,15B,2024-01-03,1803.31
Deli,UNITS_SOLD,8,10A,2024-01-03,548.07
Seafood,CUST_COUNT,8,30C,2024-01-03,1145.11
Dairy,UNITS_SOLD,8,20A,2024-01-03,535.37
Meat,SYSTEM_ON,8,30C,2024-01-03,1.0
Bakery,SYSTEM_ON,8,10A,2024-01-03,1.0
Dairy,WASTE_LBS,8,30C,2024-01-03,14.64
Dairy,UNITS_SOLD,8,15B,2024-01-03,366.3
Bakery,CUST_COUNT,8,15B,2024-01-03,1281.53
Dairy,SYSTEM_ON,8,10A,2024-01-03,1.0
Dairy,CUST_COUNT,8,30C,2024-01-03,1110.69
Bakery,CUST_COUNT,8,10A,2024-01-03,1491.95
Grocery,REVENUE_USD,8,10A,2024-01-03,5074.07
Seafood,UNITS_SOLD,9,15B,2024-01-03,529.37
Dairy,CUST_COUNT,9,30C,2024-01-03,1623.98
Produce,UNITS_SOLD,9,15B,2024-01-03,548.83
Deli,CUST_COUNT,9,15B,2024-01-03,821.15
Dairy,CUST_COUNT,9,4A,2024-01-03,1140.94
Seafood,UNITS_SOLD,9,20A,2024-01-03,540.04
Grocery,REVENUE_USD,9,30C,2024-01-03,3993.45
Grocery,CUST_COUNT,9,20A,2024-01-03,1139.41
Meat,CUST_COUNT,9,10A,2024-01-03,1492.35
Deli,SYSTEM_ON,9,15B,2024-01-03,1.0
Produce,WASTE_LBS,10,4A,2024-01-03,50.01
Grocery,REVENUE_USD,10,4A,2024-01-03,5786.7
Bakery,SYSTEM_ON,10,20A,2024-01-03,1.0
Grocery,UNITS_SOLD,10,15B,2024-01-03,404.62
Grocery,REVENUE_USD,10,10A,2024-01-03,4768.8
Bakery,WASTE_LBS,10,10A,2024-01-03,4.78
Bakery,REVENUE_USD,10,4A,2024-01-03,3025.85
Grocery,UNITS_SOLD,10,15B,2024-01-03,529.68
Bakery,UNITS_SOLD,10,15B,2024-01-03,530.42
Dairy,REVENUE_USD,10,10A,2024-01-03,5353.69
Seafood,SYSTEM_ON,10,10A,2024-01-03,1.0
Grocery,CUST_COUNT,10,4A,2024-01-03,1283.2
Deli,REVENUE_USD,10,10A,2024-01-03,4752.26
Dairy,SYSTEM_ON,10,20A,2024-01-03,1.0
Bakery,WASTE_LBS,10,20A,2024-01-03,18.27
Seafood,UNITS_SOLD,10,15B,2024-01-03,465.1
Dairy,CUST_COUNT,10,10A,2024-01-03,1491.16
Bakery,SYSTEM_ON,10,4A,2024-01-03,1.0
Produce,REVENUE_USD,1,10A,2024-01-04,4908.41
Seafood,WASTE_LBS,1,4A,2024-01-04,32.47
Dairy,CUST_COUNT,1,30C,2024-01-04,762.32
Produce,WASTE_LBS,1,10A,2024-01-04,25.25
Dairy,CUST_COUNT,1,15B,2024-01-04,1627.35
Produce,REVENUE_USD,1,10A,2024-01-04,5132.16
Grocery,WASTE_LBS,1,20A,2024-01-04,13.47
Deli,WASTE_LBS,1,10A,2024-01-04,42.58
Dairy,CUST_COUNT,1,30C,2024-01-04,1255.46
Seafood,WASTE_LBS,1,4A,2024-01-04,8.97
Dairy,WASTE_LBS,1,30C,2024-01-04,34.74
Dairy,REVENUE_USD,1,15B,2024-01-04,4617.06
Seafood,REVENUE_USD,1,15B,2024-01-04,2426.67
Grocery,WASTE_LBS,1,30C,2024-01-04,17.18
Meat,UNITS_SOLD,1,10A,2024-01-04,400.06
Meat,SYSTEM_ON,2,15B,2024-01-04,1.0
Seafood,SYSTEM_ON,2,15B,2024-01-04,1.0
Dairy,WASTE_LBS,2,10A,2024-01-04,27.75
Bakery,CUST_COUNT,2,10A,2024-01-04,993.71
Dairy,REVENUE_USD,2,10A,2024-01-04,2858.56
Meat,UNITS_SOLD,2,30C,2024-01-04,501.13
Deli,CUST_COUNT,2,30C,2024-01-04,1036.76
Seafood,WASTE_LBS,2,30C,2024-01-04,18.53
Meat,WASTE_LBS,2,4A,2024-01-04,3.9
Dairy,WASTE_LBS,2,15B,2024-01-04,23.91
Grocery,REVENUE_USD,2,10A,2024-01-04,3671.77
Bakery,CUST_COUNT,2,15B,2024-01-04,578.2
Seafood,UNITS_SOLD,2,4A,2024-01-04,419.17
Dairy,CUST_COUNT,2,10A,2024-01-04,1434.08
Produce,REVENUE_USD,2,20A,2024-01-04,2379.59
Produce,SYSTEM_ON,2,20A,2024-01-04,1.0
Dairy,SYSTEM_ON,3,4A,2024-01-04,1.0
Meat,REVENUE_USD,3,10A,2024-01-04,3731.65
Produce,WASTE_LBS,3,4A,2024-01-04,32.44
Seafood,CUST_COUNT,3,10A,2024-01-04,1223.43
Deli,SYSTEM_ON,3,20A,2024-01-04,1.0
Dairy,WASTE_LBS,3,30C,2024-01-04,7.91
Bakery,WASTE_LBS,3,30C,2024-01-04,8.28
Seafood,CUST_COUNT,3,4A,2024-01-04,1211.51
Dairy,SYSTEM_ON,3,15B,2024-01-04,1.0
Bakery,CUST_COUNT,3,10A,2024-01-04,1409.26
Dairy,UNITS_SOLD,3,4A,2024-01-04,439.36
Dairy,SYSTEM_ON,3,10A,2024-01-04,1.0
Grocery,WASTE_LBS,3,30C,2024-01-04,1.89
Bakery,UNITS_SOLD,3,30C,2024-01-04,434.23
Meat,WASTE_LBS,3,20A,2024-01-04,18.08
Meat,WASTE_LBS,3,15B,2024-01-04,7.04
Bakery,CUST_COUNT,3,4A,2024-01-04,1012.87
Seafood,SYSTEM_ON,3,15B,2024-01-04,1.0
Grocery,UNITS_SOLD,4,4A,2024-01-04,486.45
Dairy,REVENUE_USD,4,30C,2024-01-04,5661.34
Deli,CUST_COUNT,4,4A,2024-01-04,1259.36
Seafood,WASTE_LBS,4,4A,2024-01-04,18.36
Deli,WASTE_LBS,4,20A,2024-01-04,29.34
Meat,CUST_COUNT,5,30C,2024-01-04,1106.15
Bakery,REVENUE_USD,5,4A,2024-01-04,6558.58
Seafood,SYSTEM_ON,5,10A,2024-01-04,1.0
Produce,SYSTEM_ON,5,10A,2024-01-04,1.0
Bakery,UNITS_SOLD,5,15B,2024-01-04,461.11
Meat,WASTE_LBS,5,20A,2024-01-04,30.53
Meat,CUST_COUNT,5,4A,2024-01-04,704.12
Seafood,UNITS_SOLD,5,20A,2024-01-04,630.43
